"Geographic Location","Total","Under 15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 and over","Not Stated"
"....Sultan Kudarat",2963,4,356,1072,834,441,136,64,30,13,5,3,4,1,0,0
"....Sarangani",2107,6,306,873,530,225,89,34,20,12,4,4,1,1,2,0
"....City Of Cotabato",506,0,35,121,183,104,43,9,2,4,2,3,0,0,0,0
"..Caraga",11508,1,848,3730,3826,1718,657,297,178,118,66,31,29,7,2,0
"....Agusan Del Norte",3080,0,198,910,1057,488,213,86,52,34,21,11,8,2,0,0
"....Agusan Del Sur",3326,1,345,1181,1017,412,154,89,54,38,19,6,9,1,0,0
"....Surigao Del Norte",2222,0,132,688,786,369,125,47,36,16,15,3,2,2,1,0
"....Surigao Del Sur",2539,0,150,823,854,408,146,69,33,26,9,9,9,2,1,0
"....Dinagat Islands",341,0,23,128,112,41,19,6,3,4,2,2,1,0,0,0
"..ARMM",2177,11,350,691,599,286,140,49,26,11,4,4,3,2,1,0
"....Basilan",171,1,27,64,38,17,10,8,4,1,0,1,0,0,0,0
"....Lanao Del Sur",389,3,42,140,120,51,17,9,5,0,0,0,1,0,1,0
"....Maguindanao",1244,7,259,386,305,155,80,24,15,6,3,1,2,1,0,0
"....Sulu",225,0,12,62,81,39,19,5,2,2,1,2,0,0,0,0
"....Tawi-Tawi",148,0,10,39,55,24,14,3,0,2,0,0,0,1,0,0
